[0.0999758],[-0.58802961],[-0.74149508],[-0.09541332],[0.11109873],[-0.61702001],[-0.06777098]
[-0.14498406],[-0.81651721],[0.18903337],[-0.36803492],[0.14558549],[0.37954185],[-0.5428763]
[0.58016836],[-0.45710837],[0.01952544],[0.88710482],[0.72975006],[-0.12815099],[-0.15639539]
[1.5587284],[-0.68496584],[-0.82880894],[0.63598448],[0.35377694],[0.38802599],[-0.55182787]
[0.760563],[-0.18478102],[-0.18301461],[1.45606755],[0.0436631],[-0.60182626],[0.02813519]
[-0.38607638],[-0.16953637],[-0.57233707],[-0.99576273],[-0.40129076],[0.33083429],[0.55644783]
[-0.12013525],[-0.24883669],[-0.48588228],[-0.39534281],[-0.05959655],[-0.49361889],[-0.92195082]
[-0.06024774],[-0.61514978],[0.15209219],[-0.2311951],[-0.05513181],[0.75639688],[-0.09167878]
[0.0545771],[0.26109213],[0.01341008],[-0.42697244],[-0.02984253],[-0.43513318],[-1.12532132]
[-0.16368786],[0.46375742],[-1.06540742],[0.01825792],[0.28764654],[0.43966393],[0.25690382]
[0.09072457],[-0.36040859],[0.64264161],[0.97031967],[0.41407301],[-0.43786817],[-0.50029644]
[0.5784104],[-0.14173722],[0.07263095],[0.28556757],[0.08779715],[0.57388578],[-0.77233924]
[-1.08709416],[1.04265609],[-0.61542571],[-0.10093466],[-0.41108157],[-0.4019432],[-0.40520752]
[0.50248394],[0.3904427],[-0.1355988],[-0.19848098],[-0.05113278],[0.52182012],[-0.90948041]
[0.63101621],[0.47619735],[-0.31109933],[0.46041466],[-0.18501627],[-0.27667564],[0.45352785]
[-0.9158865],[0.4420801],[-0.80033382],[0.23782364],[-0.04140504],[0.67368071],[0.12648137]
[0.93983948],[0.4147491],[-0.81093461],[0.08141491],[0.04258299],[-0.2789028],[-0.38736469]
[0.54690601],[0.84340424],[-1.09933792],[0.33113682],[0.03055895],[0.35375587],[-0.27376291]
[-0.70191194],[0.99998789],[-0.36750672],[-0.87446788],[-0.12614734],[-0.95761022],[0.3340678]
[-0.20490059],[0.58065384],[0.28962199],[-0.6582971],[-0.29273235],[0.32851046],[0.45756747]
[-0.8361041],[0.70140102],[-0.72316005],[-0.13343734],[-0.61755096],[-0.39722878],[-0.24423875]
